name,date,rules,source
disc golf,1982,"The Course: Disc golf is played on a course that consists of a series of ""holes"" or baskets. The course may be located in a park, in the woods, or in other outdoor settings. (See equipment for disc golf)
Disc Selection: Players may carry multiple discs of different shapes, sizes, and weights, and may choose a different disc for each throw depending on the distance, wind conditions, and other factors.
Tee Throws: Each hole has a designated tee area, from which players must make their first throw. The play begins with each player throwing from this designated area towards each hole. There should be one foot in contact with the tee at the time of release.
Fairway Play: Players then continue throwing from the spot where their disc lands, until the disc is thrown into the basket. The scoring system is similar to standard golf, each hole has an assigned par score.
Scoring: The object of the game is to complete the course in the fewest number of throws. Each throw is counted as a stroke, and the player with the lowest total score at the end of the game is the winner.
disc golf tee offteeing off
Out of Bounds: If a player's throw lands out of bounds, the player must take a penalty stroke, as well as throw from a designated drop zone or from the spot where the disc went out of bounds.
Courtesy: Players must wait their turn to throw, and should not throw until the group ahead of them has cleared the area. Players should also avoid distracting other players with noise or movement.
Safety: Players must be aware of their surroundings and should take care not to endanger other players, spectators, or wildlife. Players should also avoid throwing over people, roads, or other hazards.",www.rulesofsport.com
diving,1891,"Diving is conducted in a specific pool that is a minimum of 5 meters deep, and it must be clear of obstructions.

The diving platform is a raised structure from which divers jump. The Olympic diving boards are placed at two different heights: at 10 meters and at three meters. The 10 meter platform is a solid base from which to jump. There is a springboard at three meters. The spring board is a flexible board that gives divers an additional boost when jumping.

The divers perform a series of predetermined dives, with varying degrees of difficulty, in a specific order. In individual events, divers perform six dives, while in synchronized events, divers perform five dives each.

The divers are judged on the execution and degree of difficulty of their dives. Each dive is scored by a panel of judges, with a maximum score of 10 points.

Divers are evaluated on the quality of their execution, including the approach, takeoff, flight, entry, and overall impression of the dive. The degree of difficulty is determined by the complexity of the dive, with higher scores given for more difficult dives.",www.rulesofsport.com
fencing,1913,"Fencing matches are timed, with each bout lasting three minutes or until one fencer scores 15 points. Points are awarded based on where the fencer makes contact with their opponent. In foil fencing, only hits to the torso count as points. In epee fencing, hits to any part of the body count as points. In sabre fencing, hits to the torso and arms count as points.

Fencing matches are overseen by a referee, who is responsible for making decisions about the validity of hits and enforcing the rules of the sport. Fencing also has a strict set of etiquette rules, including saluting your opponent and the referee before and after the bout, and showing good sportsmanship throughout the competition.",www.rulesofsport.com
american football,1876,"Downs
Downs are the most fundamental part of NFL play. The offensive team moves the ball forward in sections of at least 10 yards. They have four chances (or downs) to gain those 10 yards. Each time the ball is advanced at least 10 yards within their four chances, another first down is earned, with four more chances to go a further 10 yards.
If the offensive team fails to move 10 yards within four downs, possession is surrendered. However, the ball is usually punted to the defending team on fourth down.
Teams
There are 11 players from each team on field at any one time
Timing
Four 15min quarters
Three time-outs per half for each team
12min half-time
15min sudden-death overtime if scores are tied
Scoring
A touchdown is worth six points, and is scored when a team crosses the opposition's goal line with the ball, or catches or collects the ball in the end zone.
A Field goal is worth three points. Field goals are usually attempted on fourth down if the kicker is close enough to the end zone to kick the ball through the posts.
An extra point is earned by kicking the ball through the uprights after a touchdown. The team can go for two points by taking the ball into the end zone again.
Two points is awarded to the defensive team for a safety when a member of the offensive team is tackled with the ball in his own end zone.",www.rulesofsport.com
golf,1744,"Equipment: Players use clubs to hit a small ball into a series of holes on the course. Each player is allowed to carry a maximum of 14 clubs in their bag. (see more about the equipment for golf)
The Course: The golf course is made up of 18 holes, each with its unique design and layout. The course includes hazards such as bunkers, water, and rough areas that make it more challenging to hit the ball.
Teeing Off: Each hole on the golf course has a designated starting point called the tee box. Players must tee off from the tee and hit the ball down the fairway. The player who has the lowest score on the previous hole has the honor of teeing off first.
Scoring: Golf is scored by counting the number of strokes it takes to complete each hole. The player with the lowest number of strokes at the end of the round wins the game (though there are other ways of scoring too).
Penalties: If a player hits the ball out of bounds, they must take a penalty stroke and play the ball from where it went out of bounds. Also, if a player cannot find their ball, they must take a penalty stroke and replay the shot.
Handicaps: Handicaps are used in golf to help level the playing field for players of different skill levels. A player's handicap is a measure of their skill level and is used to adjust their score to reflect their ability.
Putting: Once the ball is on the green, players use a putter to try and sink the ball into the hole. The number of strokes it takes to get the ball into the hole on the green is called the player's ""putt"" count.
Etiquette: Golf has many rules of etiquette, including allowing faster players to play through, repairing any divots or marks on the green, and avoiding distractions or disruptions during other players' turns.",www.rulesofsport.com
netball,1895,"The ball moves from player to player through passing. Players are not allowed more than 1.5 steps while carrying the ball, and cannot hold it for more than three seconds at any time. Players have designated areas on the court which they cannot move out of. Defensive players cannot obstruct the opposition player with the ball - the must be more than one meter away.

The court is divided into thirds, with players allowed to only move within one or two thirds sections of the court, except the center who can enter all thirds.
There are seven players on each team, and each must wear a ""bib"" showing one of the abbreviations for their playing position. The playing positions and abbreviations are:

Goal Shooter (GS)
Goal Keeper (GK)
Goal Attack (GA)
Goal Defence (GD)
Wing Attack (WA)
Wing Defence (WD)
Centre (C)
The game is divided into quarters of 15 minutes duration. At the start of each quarter and after a goal is scored, play restarts from the center of the court with a 'center pass'. The possession of the ball for the center pass alternates between the teams, regardless of which team scored the last goal.

No substitutions are allowed during play, except for injury and after each break.",www.rulesofsport.com
pickleball,1965,"Equipment: Pickleball is played with a paddle and a plastic ball with holes. The paddle can be made of wood, composite materials, or other approved materials. The ball is typically yellow or white and has a diameter of about 3 inches.
Court: The court is similar in size to a badminton court, measuring 20 feet wide and 44 feet long for doubles play, and 20 feet wide and 22 feet long for singles play. The court is divided into two halves by a 34-inch high net.
Serving: The serving team must start the point by serving the ball diagonally from the right-hand service court. The serve must be underhand, and the ball must clear the net and land in the opponent's service court.
Rallying: After the serve, the players must hit the ball back and forth over the net until one team is unable to return the ball or hits the ball out of bounds. The ball can only bounce once on each side of the court before it must be hit back over the net.
Scoring: Points are scored when the opponent is unable to return the ball or hits the ball out of bounds. The serving team continues to serve until they lose a point, after which the serve changes to the other team. Games are typically played to 11 points, and the winning team must win by two points.
Faults: Faults are committed when a player violates a rule or makes an error in play. Faults include stepping into the non-volley zone before the ball has bounced, hitting the ball out of bounds, or hitting the ball into the net on the serve.
Non-Volley Zone: A non-volley zone (also known as the kitchen), is the area within 7 feet either side of the net. Players are not allowed to hit the ball in the air while standing in the non-volley zone, and must allow the ball to bounce before hitting it in this area.",www.rulesofsport.com
table tennis,1926,"The Table: A standard table tennis table measures 9 feet (2.74 meters) in length and 5 feet (1.525 meters) in width. The table sits 2.5 feet (76 centimeters) above the ground, with the playing surface divided by a net that stands 6 inches (15.25 centimeters) high and stretches the width of the table.
Objective: Players using paddles to hit a lightweight ball back and forth across the net, scoring points when the opponent fails to return the ball within the rules.
Scoring: A player or doubles team earns a point when the opponent fails to return the ball within the rules. The first player or team to 11 points (or 21 points in some variations) wins the game, provided they have a margin of at least two points over their opponent. Play continues until one player or team gains a two-point advantage to win the game.
Match Play: Matches can be played in singles (one player against another) or doubles (two players on each side). A match typically consists of best of five or seven games, with the player or team winning the majority of games declared the overall winner.
Serving: The serve alternates between players after every two points, with specific rules governing the serve including tossing the ball upwards and striking it so that it bounces on the server's side of the table before crossing the net.
Trajectory: Players must strike the ball in a manner that produces a legal trajectory over the net. The ball must travel directly over the net or around it to land on the opponent's side of the table. Shots that curve around the netpost or hit the top of the net and go over are considered legal, as long as they touch the opponent's side of the table.
Touching the Table or Net: Players are not allowed to touch the table or net with any part of their body or racket during play. Doing so results in a point awarded to the opponent",www.rulesofsport.com
tennis,1874,"Court: The tennis court is divided into two sides by a net. Each side has a baseline, service line, and singles and doubles sidelines.
Serving: The player who is serving must stand behind the baseline on their side of the court and hit the ball over the net into the opponent's service box. The serve must be underhand or overhand and must not touch the net.
Faults: A serve that does not land in the opponent's service box is called a ""fault."" A player is allowed two faults per serve, and if they fail to get a legal serve on the third attempt, they lose the point.
Let: If a serve hits the net and lands in the opponent's service box, it is called a ""let,"" and the player is allowed to serve again without penalty.
Rally: After the serve, the players take turns hitting the ball back and forth over the net until one player misses or hits the ball out of bounds.
Scoring: The scoring system in tennis is based on a series of points, games, and sets. Each point is worth one, and a game is won by the first player to score four points, with a two-point lead. A set is won by the first player to win six games, with a two-game lead. The terms used to describe points are ""love"" for zero, ""15"" for one point, ""30"" for two points, and ""40"" for three points.
Deuce: If both players reach a score of 40, it is called ""deuce,"" and the player who wins the next point will have the advantage. If the same player wins the next point, they win the game. If the other player wins the point, the score returns to deuce.
Tiebreak: If the score reaches 6-6 in a set, a tiebreak is played. The first player to score seven points with a two-point lead wins the tiebreak.
Doubles: In doubles play, the court is wider and the two players on each team take turns serving and receiving. The server must serve to the opposite side of the court.",www.rulesofsport.com
ultimate,1968,"Players: Ultimate teams comprise seven players each.
The Field: A regulation field is 70 yards by 40 yards, with end zones that are 25 yards deep.
The Disc: The game is played with a flying disc, also known as a Frisbee.
Scoring: The objective is to catch the disc in the opposing team's end zone to score a point. The team with the most points at the end of the game wins.
Movement of the Disc: The disc is advanced down the field by passing it to teammates. Players cannot run with the disc, but they can pivot and pass in any direction.
Turnovers: If the disc is dropped, intercepted, or goes out of bounds, possession of the disc changes hands and the other team gains possession.
Stall Count: When a defensive player is guarding the player with the disc, the offensive player has 10 seconds to pass the disc.
Fouls: Players must avoid contact with other players, and any contact that interferes with the other player's ability to catch the disc is considered a foul.",www.rulesofsport.com
billiards,1886,"All games of Billiards shall be played with three balls, consisting of a red, yellow and white.
Each of the two players has their own cue ball, one having the white ball, the other the yellow ball.
Both players must decide who is to break off first, and this is done by both players simultaneously hitting their cue ball the length of the table, hitting the cushion and returning back towards them. The player who gets their cue ball nearest to the baulk cushion at the end the shot was played gets to choose who breaks.
The red is then placed on the Billiards sport and then the player going first places their cue ball in the D and then plays the ball.
Players then take it in turn to attempt to score the most amount of points and eventually win the game. Players can score in three ways:
In-off: When your cue ball hits one of more balls and then goes down a pocket (2 / 3 points).
Pot: This is when any ball other than your cue ball goes into a pocket (2 / 3 points).
Cannon: This happens when the cue ball hits both other balls (2 points).
Players remain on the table until they fail to make a scoring shot.
Following a foul, the opposing player has the option of having the balls all put on their spots or leaving the table as it is.
The winner of the game is the first player to the points total that was declared the winning total before the game.",www.rulesofsport.com
dodgeball,1905,"The number of players, number of balls, size of court and length of game can be determined by the organisers.
Players must remain within the court at all times, unless collecting dead balls.
Players are allowed to leave the court to collect balls but they are not allowed to throw the ball until they are back within the court. If a player leaves the court for any other purpose or they throw a ball from outside the court, they are eliminated.
The rules regarding headshots can be decided upon personal preference or by order of an official body. Some games will see the throwing player eliminated if an opponent is stuck on the head, some games will see the player struck on the head eliminated.
Players struck with a ball that is then caught before it becomes dead are eliminated.
When a player catches a ball, the throwing player will be eliminated.",www.rulesofsport.com
tug of war,1960,"Each team in a Tug of War competition consists of eight people.
There are various weight classifications in Tug of War, and the mass of the eight people combined must not weigh more than that determined by the category that they are placed in.
The rope used should be of a circumference of approximately 11 cm and should be marked in the middle with a centre line as well as two marks that should be placed 4m from the centre line.
At the start of the pull, the centre line of the rope should be immediately above line marked on the ground.
Both teams pull the rope, the winner being the team who manage to pull the mark on the rope closest to their opponents over the centre line.
The rope must be pulled underarm and nobody’s elbow must go below the knee, otherwise a foul will be called.
Matches are often a best of three pull, the winner winning two out of the three pulls.",www.rulesofsport.com
catan,1995,"The players in the game represent settlers establishing settlements on the fictional island of Catan. Players build settlements, cities, and roads to connect them as they settle the island.[9] The game board, which represents the island, is composed of hexagonal tiles (hexes) of different land types, which are laid out randomly at the beginning of each game.[10] Newer editions of the game began to depict a fixed layout in their manual and recommend this to be used by beginners. In 2016, editions of the game were released with a conventional fixed layout board in this configuration, the hexes of which cannot be rearranged.

Players build by spending resources (wool, grain, lumber, brick, and ore) that are depicted by these resource cards; each land type, with the exception of the unproductive desert, produces a specific resource: hills produce brick, forests produce lumber, mountains produce ore, fields produce grain, and pastures produce wool. On each player's turn, two six-sided dice are rolled to determine which hexes produce resources. Players with a settlement adjacent to a hex containing the number just rolled receive one card of the corresponding resource; cities produce two cards of the corresponding resource. For example, if a player has one city and two settlements adjacent to a grain hex, that player would take four grain resource cards if the corresponding number was rolled.

There is also a robber token, initially placed on the desert; if a player rolls 7, the robber must be moved to another hex, which will no longer produce resources until the robber is moved again. That player may also steal a resource card from another player with a settlement or city adjacent to the robber's new placement. In addition, when a 7 is rolled, all players with 8 or more resource cards must discard their choice of half of their cards, rounded down. For example, If a player has 9 resource cards, and a 7 is rolled, the player must get rid of 4 cards.

On the player's turn, the player may spend resource cards to build roads or settlements, upgrade settlements to cities (which replace existing settlements), or buy development cards. Players can trade resource cards with each other; players may also trade off-island (in effect, with the non-player bank) at a ratio of four-to-one resources for one of any other. By building settlements adjacent to ports, players may trade with the bank at three-to-one (three of any single resource type) or two-to-one (two of a specific resource) ratios, depending on the port.

The goal of the game is to reach ten victory points. Players score one point for each settlement they own and two for each city. Various other achievements, such as establishing the longest road and the largest army (by playing the most knight cards), grant a player additional victory points.

Resource cards can also be spent to buy a development card. There are five different types of development cards, including cards worth one victory point; knight cards, which allow the player to move the robber as if they had rolled a 7 (but without the remove-half rule); monopoly cards, which allow the player to steal all of any one resource from other players; road building cards, which allow the player to build two roads without paying extra resource cards; and year of plenty cards which allow the player to pick up two resource cards of their choice.


Three players in a game of Catan
Teuber's original design was for a large game of exploration and development in a new land.[11] Between 1993 and 1995 Teuber and Kosmos refined and simplified the game into its current form. Unused mechanics from that design went on to be used in Teuber's following games, Entdecker and Löwenherz. The game's first expansion, Catan: Seafarers, adds the concept of exploration, and the combined game (sometimes known as ""New Shores"") is probably the closest game to Teuber's original intentions.[6]

In 2020, the Board Game Analysis blog created a mathematical model to evaluate how balanced any particular board layout is, with scores ranging from 0 to 1 and lower scores being more balanced. According to that model, the beginner layout recommended in the game's manual has a balance score of 0.094. They also analyzed a board layout used in a 2016 tournament, which scored a 0.106. A sample of 100 million randomly generated board layouts formed an approximately normal distribution with the majority of boards' scores clustered around 0.25",https://en.wikipedia.org/wiki/Catan
monopoly,1935,"In the game, players roll two dice (or 1 extra special red dice) to move around the game board, buying and trading properties and developing them with houses and hotels. Players collect rent from their opponents and aim to drive them into bankruptcy. Money can also be gained or lost through Chance and Community Chest cards and tax squares. Players receive a salary every time they pass ""Go"" and can end up in jail, from which they cannot move until they have met one of three conditions. House rules, hundreds of different editions, many spin-offs, and related media exist.",https://en.wikipedia.org/wiki/Monopoly_(game)
d&d,1974,"Dungeons & Dragons is a structured yet open-ended role-playing game.[24] Typically, one player takes on the role of Dungeon Master (DM) or Game Master (GM) while the others each control a single character, representing an individual in a fictional setting.[24] When working together as a group, the player characters (PCs) are often described as a ""party"" of adventurers, with each member often having their own area of specialty that contributes to the success of the group as a whole.[25][26] During the course of play, each player directs the actions of their character and their interactions with other characters in the game.[7] This activity is performed through the verbal impersonation of the characters by the players, while employing a variety of social and other useful cognitive skills, such as logic, basic mathematics, and imagination.[27] A game often continues over a series of meetings to complete a single adventure, and longer into a series of related gaming adventures, called a ""campaign"".[7][28][29]

The results of the party's choices and the overall storyline for the game are determined by the DM according to the rules of the game and the DM's interpretation of those rules.[29][30] The DM selects and describes the various non-player characters (NPCs) that the party encounters, the settings in which these interactions occur, and the outcomes of those encounters based on the players' choices and actions.[7][25] Encounters often take the form of battles with ""monsters"" – a generic term used in D&D to describe potentially hostile beings such as animals, aberrant beings, or mythical creatures.[29] In addition to jewels and gold coins, magic items form part of the treasure that the players often seek in a dungeon.[31] Magic items are generally found in treasure hoards, or recovered from fallen opponents; sometimes, a powerful or important magic item is the object of a quest.[32] The game's extensive rules – which cover diverse subjects such as social interactions,[30] magic use,[33] combat,[30] and the effect of the environment on PCs[34] – help the DM to make these decisions. The DM may choose to deviate from the published rules[30] or make up new ones if they feel it is necessary.[35]

The most recent versions of the game's rules are detailed in three Fifth Edition core rulebooks: The Player's Handbook, the Dungeon Master's Guide and the Monster Manual.[21]

The only items required to play the game are the rulebooks, a character sheet for each player, and a number of polyhedral dice. Many players also use miniature figures on a grid map as a visual aid if desired, particularly during combat. Some editions of the game presume such usage. Many optional accessories are available to enhance the game, such as expansion rulebooks, pre-designed adventures, and various campaign settings.[21][25]",https://en.wikipedia.org/wiki/Dungeons_%26_Dragons
chess,1501,"Each type of chess piece has its own method of movement. A piece moves to a vacant square except when capturing an opponent's piece.[8]

Except for any move of the knight and castling, pieces cannot jump over other pieces. A piece is captured (or taken) when an attacking enemy piece replaces it on its square. The captured piece is thereby permanently removed from the game.[a] The king can be put in check but cannot be captured (see below).

The king moves exactly one square adjacent to it. A special move with the king known as castling is allowed only once per player, per game (see below).
A rook moves any number of vacant squares horizontally or vertically. It also is moved when castling.
A bishop moves any number of vacant squares diagonally. (Thus a bishop can move to only light or dark squares, not both.)
The queen moves any number of vacant squares horizontally, vertically, or diagonally.
A knight moves to one of the nearest squares not on the same rank, file, or diagonal. (This can be thought of as moving two squares horizontally then one square vertically, or moving one square horizontally then two squares vertically—i.e. in an ""L"" pattern.) The knight is not blocked by other pieces; it jumps to the new location.
Pawns have the most complex rules of movement:
A pawn moves straight forward one square, if that square is vacant. If it has not yet moved, a pawn also has the option of moving two squares straight forward, provided both squares are vacant. Pawns cannot move backwards.
A pawn, unlike other pieces, captures differently from how it moves. A pawn can capture an enemy piece on either of the two squares diagonally in front of the pawn. It cannot move to those squares when vacant except when capturing en passant.
The pawn is also involved in the two special moves en passant and promotion.[10]",https://en.wikipedia.org/wiki/Rules_of_chess
