name,rules,Original Source(s),date,Place/Culture of Origin,Variation Notes
 KHO-KHO,"The players toss a coin to determine which will be the running team and which will be
the chasing team in the first half.
All the members from Team A (the running team) take up their positions in the eight
small 30 x 30cm squares (0) in the middle of the field (see numbers 1 to 8 in Diagram
2.1). Every alternate player faces in the same direction. For example, all oddnumbered players will face north, and all even-numbered players will face south.
Three players from Team B will be in the playing area. One of these players will be
nominated to start the chase. He or she will start the game by chasing the runner from
Team A. The runner will run away from the chaser alongside his or her team members
positioned in the squares.
At any time, the ‘runner’ may shout ‘Kho!’ to one of his own team members who is
facing in the same direction as he or she is running in. The runner (X) will change
places with the player he or she called out to, and that player will take up the running
(being chased by Y). The ‘runner’ (X) may move in any direction but must stay inside
the playing area.
When the chaser wants to pursue a runner on the other side of the median line, then he
or she must first run up to the pole at the end of the field in order to change direction.
The runner (X) is ‘out’ when:
• He or she is touched by the ‘chaser’.
• He or she steps outside the playing area.
He or she enters the playing area late",https://en.wikipedia.org/wiki/Kho_kho,1914,,
IINTONGA,"Two fighters (combatants) take up position inside the ring. Each fighter carries
two sticks, namely the attack and the defence stick. The referee blows a whistle to
start the game and the fighters try to hit their opponent with their stick, while
defending themselves with the defence stick.
Three judges judge the match and record points scored by each combatant. They also
record deductible points where there are infringements of the rules. Points are
awarded according to the number of blows that hit the opponent’s body.
A referee controls the match and a timekeeper controls the rounds in each bout. A
bout consists of three rounds of one minute each. ",https://www.studocu.com/en-za/document/university-of-pretoria/education-112/study-theme-2-indigenous-games-rule-book-aug-2007/30325440,1670,,
MORUBA ,"Assuming there are two players, i.e. Player A and Player B, the players will toss a
coin to decide who will start the game. One player begins the game by removing any
two stones from his or her holes and placing them one at a time in an anti-clockwise
direction, in the next holes. When the second stone is put into the hole where there are
still two stones, all the stones are taken out and placed in the next holes. Player
A continues anti-clockwise until a ‘cow’ lands in an empty hole with the ‘cows’ (of
the opponent) in the opposite holes. He or she then removes the ‘cows’ from the
opposite holes (4 ‘cows’ or stones from the two holes).
Player A may now take any two stones from any two rows on his or her side and
continue the process until the last ‘cow’ is put into an empty hole. There are now no
‘cows’ left to continue with, and there are no ‘cows’ in the opponent’s rows to remove
or ‘hit’. This means that Player A will now have to ‘sleep’ (kulala) and Player B will
take his or her turn.
Player B starts by taking any two stones on his or her side and dropping them one-byone into the holes in an anti-clockwise direction. Player B then continues in the same
way as A, until there are no more ‘cows’ in the opponent’s rows to remove or ‘hit’.
If, during the game, a player only has one stone in the first row, then he or must shift
the stone to an adjacent hole in an anti-clockwise direction and may not remove it.
The game continues until one player has lost all his or her ‘cows’. ",https://www.studocu.com/en-za/document/university-of-pretoria/education-112/study-theme-2-indigenous-games-rule-book-aug-2007/30325441,1917,,
UGQAPHU,"Two players can choose or be nominated to swing the rope. They take up position
opposite each other. These players swing the rope to form a loop and swing it low
across the surface of the ground (almost as though they are sweeping it). The other
players jump over the rope when it reaches the lowest point.
During spontaneous play, the players can jump over the rope in any order. However,
they can also nominate a specific order for jumping. They can also toss a coin to
determine who will go first. 
The game is played with rhythm and rhymes. The rhyme differs from area to area.
One example is as follows:
Swing the rope around twice and say the rhyme as follows:
One, two amashigogo shigogo x 1
Pause
One, two amashigogo shigogo x 3
Pause
One, two amashigogo shigogo x 1
Pause
One, two amashigogo shigogo x 3

The players decide how many jumps will make up the competition. For instance, it
can be decided that players must jump 100 times according to the following pattern:
• 100 times with legs together (landing together on both feet)
• 100 times with a single leg
• 100 times while alternating the legs
• 100 times on both hands and feet. ",https://www.studocu.com/en-za/document/university-of-pretoria/education-112/study-theme-2-indigenous-games-rule-book-aug-2007/30325442,1989,,
DIKETO,"Round one
• Players toss a coin to decide who will start the game. The player who starts the
game places all his or her stones in the hole. He or she throws the ghoen into the
air and while it is in the air, scoops all the stones out of the hole with one hand,
before catching the ghoen.
• If the player catches the ghoen, then one of the small stones is placed next to the
player outside the circle or hole.
• With the next throw, the remaining nine stones are pushed back into the hole with
the same hand.
• With the following throw, the nine stones will be scooped out again. The game
continues in this way. Every time the ghoen is caught successfully, one more
stone is placed outside the hole next to the player, until there is just one stone left.
• When all the stones have been successfully scooped out, all the stones will be put
back into the hole and round two begins.
• If the player drops the ghoen, then it is the opponent’s turn to play.
Round two
• Round two commences with all the stones back in the hole. If the player catches
the ghoen after throwing it into the air, then TWO of the small stones are placed
next to the player outside the circle or hole. With the next throw, the remaining
eight stones are pushed back into the hole with the same hand.
• With the following throw, the eight stones will be scooped out again. The game
continues in this way. Every time the ghoen is caught successfully, TWO more
stones are placed outside the hole next to the player, until there are two stones left
in the hole.
• When all the stones have been successfully scooped out, all the stones will be put
back into the hole and round three begins.
• If the player drops the ghoen, then it is the opponent’s turn to play.
Round three
• Round three commences with all the stones back in the hole. If the player catches
the ghoen after throwing it into the air, then THREE of the small stones are placed 
next to the player outside the circle or hole. With the next throw, the remaining
seven stones are pushed back into the hole with the same hand.
• With the following throw, the seven stones will be scooped out again. The game
continues in this way. Every time the large stone is caught successfully, THREE
more stones are placed outside the hole next to the player, until there is one stone
left in the hole.
• If the player drops the ghoen, then it is the opponent’s turn to play. ",https://www.studocu.com/en-za/document/university-of-pretoria/education-112/study-theme-2-indigenous-games-rule-book-aug-2007/30325443,1954,,
KPOKORO,"	 Number of players needed: At least two girls, and
usually up to a maximum of ten.
•	 The objective is to accurately predict and mirror your
playmate’s leg movement two consecutive times while
clapping and skip jumping rhythmically.
•	 Players stand in a horseshoe formation and the first
player, selected randomly or by lots, takes turns with
each player in the horseshoe.
•	 Player 1 (the leader) starts by standing face-to-face
with Player 2 (the mirror). Player 1 leads them both in
clapping and skip jumping to the same rhythm: “Clap
pause clap pause clap-clap-clap pause”. At the 3rd
pause the leader randomly puts forward one of her legs.
•	 To win, the Player 2 must simultaneously mirror the
leader’s leg choices two consecutive times. If Player 2
is successful in mirroring Player 1 on two consecutive
attempts, they exchange places (switch), and the
“mirror” becomes the “leader” and plays the next round
with Player 3. If Player 2 is unable to mirror Player 1’s
movement, the latter immediately moves on to Player
3. She maintains the rhythm without pause and leads
them both in clapping and skip jumping. Although the
switch can happen at any point along the horseshoe, the
new leader must begin at one end of the circle and work
towards the end.",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1860,-2600,,
Royal Game of Ur,"The Game of Ur is a race game[8][9][12] and it is probably an ancestor of the tables family of games that are still played today and include backgammon.[8][9] The Game of Ur is played using two sets of seven game pieces, similar to those used in draughts or checkers.[8] One set of pieces is white with five black dots and the other set is black with five white dots.[6][8] The gameboard is composed of two rectangular sets of boxes, one containing three rows of four boxes each and the other containing three rows of two boxes each, joined by a ""narrow bridge"" of two boxes.[12]

The gameplay involves elements of both luck and strategy.[8] Movements are determined by rolling a set of four-sided, tetrahedron-shaped dice.[6][8] Two of the four corners of each die are marked and the other two are not, giving each die an equal chance of landing with a marked or unmarked corner facing up.[6][8] The number of marked ends facing upwards after a roll of the dice indicates how many spaces a player may move during that turn.[12] A single game can last up to half an hour.[8]

The objective of the game is for a player to move all seven of their pieces along the course and off the board before their opponent.[8] On all surviving gameboards, the two sides of the board are always identical with each other, suggesting that one side of the board belongs to one player and the opposite side to the other player.[6] When a piece is on one of the player's own squares, it is safe from capture.[8]

When it is on one of the eight squares in the middle of the board, the opponent's pieces may capture it by landing on the same space, sending the piece back off the board so that it must restart the course from the beginning.[8] This means there are six ""safe"" squares and eight ""combat"" squares.[8] There can never be more than one piece on a single square at any given time, so having too many pieces on the board at once can impede a player's mobility.[8]

When a player rolls a number using the dice, they may choose to move any of their pieces on the board or add a new piece to the board if they still have pieces that have not entered the game.[8] A player is not required to capture a piece every time they have the opportunity.[8] Nonetheless, players are required to move a piece whenever possible, even if it results in an unfavorable outcome.[8]

All surviving gameboards have a colored rosette in the middle of the center row.[6][12] According to Finkel's reconstruction, if a piece is located on the space with the rosette, it is safe from capture. Finkel also states that when a piece lands on any of the three rosettes, the player gets an extra roll.[12]

In order to remove a piece from the board, a player must roll exactly the number of spaces remaining until the end of the course plus one.[8] If the player rolls a number any higher or lower than this number, they may not remove the piece from the board.[8] Once a player removes all their pieces off the board in this manner, that player wins the game.","https://csclub.uwaterloo.ca/~pbarfuss/On_the_Rules_for_the_Royal_Game_of_Ur.pdf

https://en.wikipedia.org/wiki/Royal_Game_of_Ur?utm_source=chatgpt.com",-2400,,
Mehen,"Its board depicts a coiled snake divided into squares, which refers to a protective deity who wrapped around the sun god Re during his journey through the night. The spiral imitates the natural posture of the snake protecting its (or her) eggs. The best description of the game appears in a picture in the tomb of Hesre at Saqqara (ca. 2700 B.C.) showing gaming pieces associated with a Mehen board: three lions, three lionesses, and six sets of six marbles (
03.4.13
); (
10.130.1194b
). In Old Kingdom religious documents known as the Pyramid Texts, inscriptions suggest a belief that attainment of the afterlife was achievable by successfully passing through the Mehen game board. By reaching the center of the spiral, one would symbolically join Re on his barque",https://www.metmuseum.org/essays/board-games-from-ancient-egypt-and-the-near-east,-3000,,
Senet,"Senet is the most famous game from ancient Egypt, where it was in favor from the Predynastic Period to at least the Late Period (664–332 B.C.). Its board is characterized by a pattern of three rows of ten squares, with the last five squares consistently decorated (
01.4.1a
). The players moved their pieces in a boustrophedon (S-shaped) direction. In the New Kingdom (ca. 1550–1070 B.C.), Senet, which means “passing,” became associated with the journey to the afterlife.",https://www.metmuseum.org/essays/board-games-from-ancient-egypt-and-the-near-east,-3000,,
Dyo,"Setup: Two teams line up facing each other, about 12 yards apart.

Equipment: Each player holds a piassava string with a loop; a central object (ɔyɛ) is tossed between teams.

Goal: To noose the ɔyɛ in mid-air using the string loop.

Mechanics:

A successful noosing earns a point and captures the thrower as a “prisoner.”

Captives can escape by successfully noosing an ɔyɛ in return.

Trick throws are allowed but must follow certain rules.

Victory is decided by the number of prisoners captured.",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1860,-6000,,
Ekak,"Setup: 2–5 players seated around a pile of sand or sawdust.

Equipment: A ring (~2-inch diameter), small sticks (~3-inch), and sand pile.

Goal: Use a hooked stick to extract the hidden ring.

Mechanics:

One player hides the ring.

Players take turns dragging the sand with their sticks to locate it.

Success earns the next hiding turn.

Losers must place palms up and endure a symbolic strike from the leader.",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1861,1954,,
Ibo,"Setup: Any number of players.

Equipment: Seeds or stones.

Goal: Guess the number of seeds in the opponent’s closed hand.

Mechanics:

A correct guess wins the seeds; a wrong guess means giving the same number to the opponent.

The game continues in a chain until a correct guess is made.",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1862,-5870,,
Ikara,"Setup: Played by teams or individuals.

Equipment: Arrows and a rolling ring (ikara) made of palm fronds.

Goal: Shoot arrows through the rolling ring.

Mechanics:

Players shoot in turn as the ring rolls past.

Successful hits allow a secondary scoring round in a chalk-drawn circle.

Variants involve long-range shots and ""ownership"" of arrows.",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1863,1954,,
Kpokoro (Yoruba),"Setup: Girls stand in a horseshoe; one is the leader in the middle.

Mechanics:

The leader claps and skip-jumps rhythmically.

Other players must mirror the leg she puts forward.

Two successful matches lead to a change in leadership.",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1864,1954,,
Ala so,"Setup: One leader sits apart; players sit in a row.

Goal: Guess the animal being mimed by a “messenger.”

Mechanics:

The messenger acts like an animal, bird, or fish.

Players guess the identity based on movement and cues.

Points are scored for correct identification.",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1865,-5870,,
Nanpe,"Type: Toss-and-catch rhythm game

Setup: Any number of players; use four flat sticks colored white on one side and brown on the other.

Gameplay:
Players toss and catch sticks in eight stages:

Scoring by tossing: 4 white or 4 brown = 4 pts, 2 whites = 2 pts.
2–8. Varied catching techniques (e.g., catching by bottom, middle, on back of hand, in palm) like ghadimu, famora, nanpe, ise, etc.

Failing a stage means restarting.

Final score determines how many symbolic “lashes” the player may give the last to finish",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1866,-5870,,
Ifang,"Type: Guessing game

Players: 2–3

Materials: ~7 seeds, 3 concentric circles drawn on the ground

Gameplay:

One player hides some seeds in one hand and asks others to guess the number.

A correct guess earns a point (a dot in a circle). First to center wins.

Turns pass based on correct guesses",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1867,-5870,,
Ise,"Type: Dexterity game

Players: 2 or 4

Materials: Flat stones or broken pottery

Gameplay:

Players throw and catch their stones.

The challenge is in catching all without dropping. Dropping means losing turn.

Has similarities with jacks or hand-coordination games globally",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1868,-5870,,
Alasusu,"Type: Hidden object guessing

Setup: Small piles of sand, a small stone

Gameplay:

One player hides the stone in one pile.

Others guess. If no one succeeds, the hider scores and becomes “king”.

In variants, losers give the hider marbles",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1869,-5870,,
 Ido,"Type: Seed-rolling dexterity game

Players: Any number

Materials: Round seeds, raffia palm branch with a hole near one end (sloped board)

Gameplay:

Players roll seeds aiming to land on top of others in the hole.

Landing perfectly lets the player remove all but four seeds.

Includes snapping fingers and vocalizations (e.g., “Hah!”)",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1870,-5870,,
Ige,"Type: Pebble toss game (like Jacks)

Players: Up to 10

Gameplay:

Toss one pebble and quickly pick up another before catching the first.

In later stages, players pick up pebbles in increasing combinations (2-2, 3-3, 4-2, 5-1, all 6).

Highly widespread and ancient gam",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1871,-5870,,
Igo,"Type: Bluffing/guessing

Players: 2+

Materials: Many seeds

Gameplay:

Player hides seeds in hand, asks others to guess.

Correct guess wins seeds; incorrect gives seeds to hider.

Special word “rùo” signals >9 seeds.

Played until all seeds are gone, winner is most seeds held",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1872,-5870,,
Ipenpen,"Type: Estimation/gambling-like game

Players: 2

Materials: ~300 seeds

Gameplay:

One player divides seeds into two piles.

Opponent picks the larger.

If wrong, opponent gives a penalty (e.g., more seeds).

Trains visual estimation and judgment",https://www.persee.fr/doc/jafr_0037-9166_1954_num_24_1_1873,-5870,,
stick fighting,"Two sticks (called an Iintonga set) are used. They include a long stick for attacking, and a shorter one for defending. The stick for defence has a protective shield on the outside to cover the top part of the hand. The player decides on the length of the stick according to his or her preference.

Protective headgear may be worn to protect the players from injury.
Plastic gloves may also be worn to protect the hands.
A stopwatch.
A First Aid kit.
A score-sheet.
A white stick to be used by the referee.

The play area
The ring should be oval and 7 metres in diameter, measuring 3.5 metres from the centre. It may be an elevated ring, or a ring drawn on a flat surface to accommodate fighters in rural communities.

Age categories
Players from 5 years to 20 years of age are grouped into compatible age categories:

8-20 years (juniors)
21-25 years (intermediaries)
26 years and above (seniors)

Game description 
Two fighters (combatants) take up position inside the ring. Each fighter carries two sticks, namely the attack and the defence stick. The referee blows a whistle to start the game and the fighters try to hit their opponent with their stick, while defending themselves with the defence stick.

Three judges judge the match and record points scored by each combatant. They also record deductible points where there are infringements of the rules. Points are awarded according to the number of blows that hit the opponent’s body.
A referee controls the match and a timekeeper controls the rounds in each bout. A bout consists of three rounds of one minute each.

Rules and scoring
Penalty points are deducted for every transgression committed, while the judges have the power to disqualify players. The following constitutes a transgression:

Hitting ‘no hit areas’, namely the pubic section below the waist (kumhlaba wamadoda, meaning ‘the land of men’) and behind the head.
Hitting an opponent during a break.
Hitting an opponent when he or she is down.
Prodding or attacking the opponent with the defence stick.
Poking the opponent.
Hooking or grabbing with a stick.
Using sharpened sticks.",https://www.ulwaziprogramme.org/stick-fighting/,1700,,
